Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
N.11	9225340	672589	-	2022-04-23 08:33:38	2022-04-23 08:33:48	2022-04-23 08:33:58	45210.1	45209.63	45210.62
N.12	9225330	672596	-	2022-04-23 08:35:14	2022-04-23 08:35:25	2022-04-23 08:35:35	45163.93	45163.29	
N.13	9225330	672603	-	2022-04-23 08:36:39	2022-04-23 08:36:50	2022-04-23 08:37:00	45176.89	45176.43	45176.49
N.14	9225320	672610	-	2022-04-23 08:38:07	2022-04-23 08:38:17	2022-04-23 08:38:27	44988.25	44987.85	
N.15	9225310	672617	-	2022-04-23 08:39:29	2022-04-23 08:39:40	2022-04-23 08:39:50	45108.85		45108.31
N.18	9225291	672743	-	2022-04-23 08:43:02	2022-04-23 08:43:12	2022-04-23 08:43:22	44913.33	44913.45	44914.4
N.19	9225280	672646	-	2022-04-23 08:44:27	2022-04-23 08:44:37	2022-04-23 08:44:47	44953.2	44952.94	
N.22	9225260	672667	-	2022-04-23 08:49:56	2022-04-23 08:50:06	2022-04-23 08:50:16	45253.94	45254.18	45254.46
N.23	9225260	672674	-	2022-04-23 08:51:32	2022-04-23 08:51:42	2022-04-23 08:51:52	45325.71	45325.66	45324.79
N.24	9225254	672682	-	2022-04-23 08:52:57	2022-04-23 08:53:07	2022-04-23 08:53:17	45066.75	45065.98	45065.37
N.25	9225240	672688	-	2022-04-23 08:54:39	2022-04-23 08:54:40	2022-04-23 08:55:00	45215.15	45215.28	45215.46
N.26	9225240	672695	-	2022-04-23 08:56:09	2022-04-23 08:56:20	2022-04-23 08:56:30	45267.75	45266.55	45266.72
N.27	9225230	672702	-	2022-04-23 08:57:55	2022-04-23 08:58:05	2022-04-23 08:58:15	45277.96	45278.2	45277.99
N.28	9225220	672709	-	2022-04-23 09:00:05	2022-04-23 09:00:15	2022-04-23 09:00:25	45282.28	45282.29	45282.35
N.29	9225210	672716	-	2022-04-23 09:01:53	2022-04-23 09:02:03	2022-04-23 09:02:13	45312.84	45312.75	45313.01
O.22	9225260	672660	-	2022-04-23 09:21:11	2022-04-23 09:21:21	2022-04-23 09:21:31	45186.43	45186.17	45185.69
O.23	9225250	672667	-	2022-04-23 09:20:05	2022-04-23 09:20:21	2022-04-23 09:20:32	45232.86	45232.1	45231.34
O.24	9225240	672674	-	2022-04-23 09:18:20	2022-04-23 09:18:33	2022-04-23 09:18:43	45263.24	45262.71	45262
O.25	9225240	672681	-	2022-04-23 09:16:39	2022-04-23 09:16:54	2022-04-23 09:17:07	45293.57	45293.13	45293.07
O.26	9225230	672688	-	2022-04-23 09:14:57	2022-04-23 09:15:07	2022-04-23 09:15:17	45254.77	45255.05	45255.4
O.27	9225220	672695	-	2022-04-23 09:13:05	2022-04-23 09:13:23	2022-04-23 09:13:34	45279.95	45279.24	45279.38
O.28	9225210	672702	-	2022-04-23 09:11:18	2022-04-23 09:11:30	2022-04-23 09:11:43	45132.76	45132.82	45132.22
O.29	9225210	672709	-	2022-04-23 09:09:36	2022-04-23 09:09:53	2022-04-23 09:10:03	45319.2	45318.21	45318.1
O.30	9225200	672716	-	2022-04-23 09:07:10	2022-04-23 09:07:23	2022-04-23 09:07:34	45344.03	45343.85	
P.22	9225250	672653	-	2022-04-23 09:25:53	2022-04-23 09:26:03	2022-04-23 09:26:13	45219.24	45218.23	45217.65
P.23	9225240	672660	-	2022-04-23 09:27:28	2022-04-23 09:27:40	2022-04-23 09:27:50	45228.07	45227.47	45227.06
P.24	9225240	672667	-	2022-04-23 09:29:14	2022-04-23 09:29:24	2022-04-23 09:29:34	45228.1	45228.37	45228.37
P.25	9225230	672674	-	2022-04-23 09:30:56	2022-04-23 09:31:06	2022-04-23 09:31:16	45269.35	45267.94	45268.33
P.26	9225220	672681	-	2022-04-23 09:33:38	2022-04-23 09:33:48	2022-04-23 09:33:58		45244.71	45244.89
P.27	9225210	672688	-	2022-04-23 09:34:24	2022-04-23 09:34:34	2022-04-23 09:34:44	45286.26	45285.65	45284.67
P.28	9225210	672695	-	2022-04-23 09:36:03	2022-04-23 09:36:13	2022-04-23 09:36:23	45328.47	45329.87	45329.98
P.30	9225190	672709	-	2022-04-23 10:54:30	2022-04-23 10:54:48	2022-04-23 10:55:00	45332.16	45321.53	45330.31
Q.24	9225230	672660	-	2022-04-23 23:44:20	2022-04-23 23:44:30	2022-04-23 23:44:40	45292.24	45291.96	45291.74
Q.25	9225220	672667	-	2022-04-23 23:42:35	2022-04-23 23:42:45	2022-04-23 23:42:55	45273.77	45273.99	45274.55
Q.26	9225210	672674	-	2022-04-23 23:40:35	2022-04-23 23:40:45	2022-04-23 23:40:55	45245.89	45245.76	45244.03
Q.27	9225210	672681	-	2022-04-23 23:38:39	2022-04-23 23:38:49	2022-04-23 23:38:59	45280.19	45279.38	45279.99
Q.28	9225200	672688	-	2022-04-23 23:36:51	2022-04-23 23:37:01	2022-04-23 23:37:11	45296.04	45298.82	
Q.29	9225190	672695	-	2022-04-23 10:59:51	2022-04-23 11:00:07	2022-04-23 11:00:23	45300.69		45300.82
Q.30	9225190	672702	-	2022-04-23 10:57:06	2022-04-23 10:57:17	2022-04-23 10:57:27		45311.02	45312.61
